Comment,Designator,Footprint,LCSC,Quantity
ESP32,U3,ESP32-WROOM-32E,,1
LM2596S-12,U2,TO-263-5_L10.2-W8.9-P1.70-TL,,1
LM2596S-3.3V,U1,TO-263-5_L10.2-W8.9-P1.70-TL,,1
LM2596S-5V,U4,TO-263-5_L10.2-W8.9-P1.70-TL,,1
PCA9555D,U6,SOIC-24W_7.5x15.4mm_P1.27mm,,1
CH340C,U7,SOIC-16_3.9x9.9mm_P1.27mm,,1
ULN2803ADWR,Q4,SOIC-18_W7.5mm,,1
ULN2803ADWR,Q3,SOIC-18_W7.5mm,,1
680uF_35V,C1,CP_Elec_10x12.5,,1
6.8k,R5,R_0805,,1
Green,D17,LED_D3.0mm,,1
330R,R19,R_0805,,1
22pF,C21,C_0805,,1
GREEN,D4,LED_D3.0mm,,1
22pF,C20,C_0805,,1
470uF/25V,C14,CP_Elec_8x11.9,,1
4.7uF/16V,C15,C_CASE-B-3528-21(mm),,1
100nF,C4,C_0805,,1
100nF,C13,C_0805,,1
680k,R1,R_0805,,1
UMH3N,Q2,SOT-363_SC-70-6,,1
4.7uF/16V,C19,CP_EIA-3216-18_Kemet-A,,1
SM4001,D6,D_SMA,,1
145J400V,C8,C_Rect_L19.0mm_W6.0mm_P15.00mm_MKS4,,1
10uF_16V,C27,C_CASE-B-3528-21(mm),,1
PC817XFP,OC2,SOP-4_4.4x2.6mm_P1.27mm,,1
PC817XFP,OC1,SOP-4_4.4x2.6mm_P1.27mm,,1
150R,R18,R_0805,,1
SM4001,D20,D_SMA,,1
1N5824,D2,D_SMA,,1
330R,R20,R_0805,,1
330R/2W,R14,R_Axial_DIN0309_L9.0mm_D3.2mm_P20.32mm_Horizontal,,1
1N5819,D14,D_SMA,,1
SM4001,D29,D_SMA,,1
470nF,C3,C_0805,,1
10uF_16V,C26,C_CASE-B-3528-21(mm),,1
SM4001,D10,D_SMA,,1
SM4001,D23,D_SMA,,1
330R,R11,R_0805,,1
SM4001,D18,D_SMA,,1
SM4001,D21,D_SMA,,1
Blue,D1,LED_D3.0mm,,1
SM4001,D26,D_SMA,,1
33uH,L2,L_12x12mm_H6mm,,1
100nF,C25,C_0805,,1
SM4001,D24,D_SMA,,1
220uF_16V,C11,CP_Elec_6.3x7.7,,1
GBU8M,D9,Diode_Bridge_Vishay_GBU,,1
2200uF/35V,C9,CP_Radial_D18.0mm_P7.50mm,,1
SM4001,D19,D_SMA,,1
SM4001,D11,D_SMA,,1
1N5824,D12,D_SMA,,1
SM4001,D28,D_SMA,,1
6.8k,R4,R_0805,,1
SM4001,D25,D_SMA,,1
6.8k,R8,R_0805,,1
SM4001,D22,D_SMA,,1
330R,R9,R_0805,,1
100nF,C22,C_0805,,1
680uF_35V,C7,CP_Elec_10x12.5,,1
FLASH,SW2,SW_TS-1088-AR02016,,1
680uF_35V,C2,CP_Elec_10x12.5,,1
10K,RV1,Potentiometer_Bourns_3296W_Vertical,,1
680k,R7,R_0805,,1
10k,R10,R_0805,,1
10k,R21,R_0805,,1
RESET,SW1,SW_TS-1088-AR02016,,1
100nF,C12,C_0805,,1
10k,R12,R_0805,,1
220uF_16V,C5,CP_Elec_6.3x7.7,,1
33uH,L1,L_12x12mm_H6mm,,1
GBU8M,D8,Diode_Bridge_Vishay_GBU,,1
100nF,C18,C_0805,,1
1N5819,D13,D_SMA,,1
100k,R3,R_0805,,1
SM4001,D27,D_SMA,,1
UMH3N,Q1,SOT-363_SC-70-6,,1
220uF_16V,C6,CP_Elec_6.3x7.7,,1
680k,R2,R_0805,,1
Red,D16,LED_D3.0mm,,1
CMZ12,DZ1,D_SOD-123,,1
SM4001,D5,D_SMA,,1
1N5824,D3,D_SMA,,1
10uF_16V,C16,C_CASE-B-3528-21(mm),,1
AMS1117-3.3,U5,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,,1
12MHz,Y1,CRYSTAL-SMD_L11.5-W4.8-LS12.7,,1
2200uF/35V,C10,CP_Radial_D18.0mm_P7.50mm,,1
SM4001,D7,D_SMA,,1
330R,R6,R_0805,,1
10k,R22,R_0805,,1
1M,R13,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,1
0.1uF/25V,C17,C_0805,,1
100nF,C23,C_0805,,1
10k,R15,R_0805,,1
SM4007PL,D30,D_SMA,,1
10k,R16,R_0805,,1
10k,R17,R_0805,,1
SM4007PL,D15,D_SMA,,1
100nF,C24,C_0805,,1
33uH,L3,L_12x12mm_H6mm,,1
